ID,| Product Category | Product Name              |
1-101,"| Beverages        | ""AquaEssence"" - Mineral Waters |"
1-105,"| Beverages        | ""SodaSplash"" - Soft Drinks |"
1-106,"| Beverages        | ""PureZen Tea"" - Herbal Teas |"
1-108,"| Beverages        | ""CoffeeCraze"" - Espresso Coffees |"
1-121,"| Beverages        | ""FruitZest"" - Juice Blends |"
1-129,"| Beverages        | ""ChaiRise"" - Spiced Teas |"
1-132,"| Beverages        | ""BrewMaster"" - Craft Beers |"
1-136,"| Beverages        | ""VinoSelect"" - Red Wines |"
1-140,"| Beverages        | ""TropiBlend"" - Smoothies |"
1-189,"| Beverages        | ""ElixirPro"" - Energy Drinks |"
2-101,"| Condiments       | ""GoldDip"" - Mustards |"
2-102,"| Condiments       | ""ZestyGarden"" - Ketchups |"
2-112,"| Condiments       | ""SpiceTwist"" - Salsas |"
2-113,"| Condiments       | ""TangyBBQ"" - Barbecue Sauces |"
2-125,"| Condiments       | ""SilkyAioli"" - Garlic Aioli |"
2-134,"| Condiments       | ""SweetMaple"" - Maple Syrups |"
2-147,"| Condiments       | ""PepperPunch"" - Hot Sauces |"
2-148,"| Condiments       | ""HerbFusion"" - Pesto Sauces |"
2-152,"| Condiments       | ""HoneyGlow"" - Honey Spreads |"
2-165,"| Condiments       | ""VeggieRelish"" - Pickle Relishes |"
3-101,"| Confections      | ""ChocoBliss"" - Chocolates |"
3-105,"| Confections      | ""SweetFudge"" - Fudges |"
3-120,"| Confections      | ""CandyCraze"" - Hard Candies |"
3-122,"| Confections      | ""ToffeeTwist"" - English Toffees |"
3-123,"| Confections      | ""SugarCloud"" - Cotton Candies |"
3-127,"| Confections      | ""FrostyMint"" - Peppermint Candies |"
3-132,"| Confections      | ""NuttyNibble"" - Pralines |"
3-169,"| Confections      | ""CaramelDream"" - Salted Caramels |"
3-173,"| Confections      | ""GummiGood"" - Gummy Candies |"
3-176,"| Confections      | ""MarshMelt"" - Marshmallows |"
4-101,"| Dairy Products   | ""CreamyHaven"" - Cheeses |"
4-113,"| Dairy Products   | ""YogurtPeak"" - Greek Yogurts |"
4-121,"| Dairy Products   | ""ButterGlow"" - Salted Butters |"
4-123,"| Dairy Products   | ""IceDelight"" - Ice Creams |"
4-124,"| Dairy Products   | ""CheeseCloud"" - Cottage Cheeses |"
4-125,"| Dairy Products   | ""CurdCraft"" - Curd Cheeses |"
4-133,"| Dairy Products   | ""MilkMagic"" - Whole Milks |"
4-138,"| Dairy Products   | ""CreamCharm"" - Whipping Creams |"
4-168,"| Dairy Products   | ""SilkyYogurt"" - Flavored Yogurts |"
4-199,"| Dairy Products   | ""ProteinPlus"" - Skimmed Milks |"
5-102,"| Grains/Cereals   | ""GoldenGrain"" - Oats |"
5-105,"| Grains/Cereals   | ""BreadBounty"" - Breads |"
5-129,"| Grains/Cereals   | ""RiseNGlow"" - Cereals |"
5-150,"| Grains/Cereals   | ""PastaPride"" - Pastas |"
5-159,"| Grains/Cereals   | ""RiceRiches"" - Basmati Rices |"
5-174,"| Grains/Cereals   | ""QuinoaQueen"" - Quinoa |"
5-186,"| Grains/Cereals   | ""BarleyBurst"" - Barley |"
6-110,"| Grains/Cereals   | ""CornCrown"" - Popcorns |"
6-152,"| Grains/Cereals   | ""SpeltSavor"" - Spelt Flours |"
6-166,"| Grains/Cereals   | ""MilletMagic"" - Millets |"
6-174,"| Meat/Poultry     | ""ChickenChamp"" - Chickens |"
6-196,"| Meat/Poultry     | ""BeefBliss"" - Beef Steaks |"
6-197,"| Meat/Poultry     | ""PorkPrime"" - Pork Loins |"
6-198,"| Meat/Poultry     | ""TurkeyTreat"" - Turkeys |"
6-199,"| Meat/Poultry     | ""DuckDelight"" - Duck Breasts |"
6-200,"| Meat/Poultry     | ""LambLux"" - Lamb Racks |"
6-201,"| Meat/Poultry     | ""SteakStar"" - Ribeye Steaks |"
6-202,"| Meat/Poultry     | ""SausageSizzle"" - Sausages |"
6-203,"| Meat/Poultry     | ""BaconBoost"" - Bacons |"
6-204,"| Meat/Poultry     | ""HamHaven"" - Hams |"
7-100,"| Produce          | ""FreshFeast"" - Fruits |"
7-125,"| Produce          | ""GreenGlow"" - Vegetables |"
7-149,"| Produce          | ""HerbHarvest"" - Herbs |"
7-159,"| Produce          | ""RootRadiance"" - Root Vegetables |"
7-182,"| Produce          | ""BerryBounty"" - Berries |"
8-101,"| Produce          | ""LeafLush"" - Salad Greens |"
8-105,"| Produce          | ""CitrusCharm"" - Citrus Fruits |"
8-120,"| Produce          | ""TropiTreasure"" - Tropical Fruits |"
8-129,"| Produce          | ""VineValue"" - Vine Fruits |"
8-130,"| Produce          | ""CrunchCorner"" - Nuts |"
8-141,"| Seafood          | ""OceanGift"" - Fish |"
8-159,"| Seafood          | ""ShrimpShine"" - Shrimps |"
8-162,"| Seafood          | ""LobsterLux"" - Lobsters |"
8-173,"| Seafood          | ""SalmonStar"" - Salmons |"
8-176,"| Seafood          | ""ClamCatch"" - Clams |"
8-185,"| Seafood          | ""CrabCraze"" - Crabs |"
8-194,"| Seafood          | ""OysterOpus"" - Oysters |"
8-195,"| Seafood          | ""TunaTreasure"" - Tunas |"
8-196,"| Seafood          | ""TroutTriumph"" - Trouts |"
8-197,"| Seafood          | ""SquidSavor"" - Squids |"
